,Seed,Technique,Feature,Percentage,R2,RMSE
0,0,Average3v,Pres,5,-0.0233564358594871,0.8849634365768424
1,0,Average3v,Temp,5,-0.08671571990309479,0.839033664270405
2,0,Average3v,UR,5,-0.06090042090611725,0.9671305156199208
3,1,Average3v,Pres,5,-0.0060889024947878845,0.971351809497768
4,1,Average3v,Temp,5,-0.0833275507675495,0.9087381486941247
5,1,Average3v,UR,5,0.009138035063478211,0.9432924591461915
6,2,Average3v,Pres,5,0.0011408123556209127,0.9666064032387057
7,2,Average3v,Temp,5,0.027039077950278045,0.8205068580018657
8,2,Average3v,UR,5,0.009138035063478211,0.9432924591461915
9,3,Average3v,Pres,5,0.007556654092097603,0.9028195718215297
10,3,Average3v,Temp,5,0.00021539718905960736,0.8829209327275854
11,3,Average3v,UR,5,-0.06758538318646656,0.9243720256441508
12,4,Average3v,Pres,5,0.024803039601208,0.9851031056412097
13,4,Average3v,Temp,5,-0.0009668255211630061,0.8756810005814463
14,4,Average3v,UR,5,0.00581599419739387,0.9674524953216453
15,5,Average3v,Pres,5,0.007040041284787857,0.9408661475228336
16,5,Average3v,Temp,5,-0.1198963695669486,0.9168175705696733
17,5,Average3v,UR,5,0.0014252726483654499,0.9697509163813672
18,6,Average3v,Pres,5,-0.015929710062267288,1.0205978007001533
19,6,Average3v,Temp,5,-0.07825513447723953,0.8951937456832669
20,6,Average3v,UR,5,-0.03077643794780216,0.9328689065043283
21,7,Average3v,Pres,5,0.0191975125240742,0.9231720849118985
22,7,Average3v,Temp,5,0.028244664483445092,0.8921020153531103
23,7,Average3v,UR,5,-0.003568808038452387,0.9271826875584425
24,8,Average3v,Pres,5,0.013135230866847758,0.9921156722906578
25,8,Average3v,Temp,5,-0.11721792173632761,0.8381885766319364
26,8,Average3v,UR,5,-0.010335049347730108,0.9779417693449668
27,9,Average3v,Pres,5,-0.012657481982297547,1.002027852275569
28,9,Average3v,Temp,5,-0.20101366389303066,0.7981167162617735
29,9,Average3v,UR,5,-0.06758538318646656,0.9243720256441508
30,10,Average3v,Pres,5,0.04335598718044453,0.9286586028130531
31,10,Average3v,Temp,5,0.027039077950278045,0.8205068580018657
32,10,Average3v,UR,5,-0.06090042090611725,0.9671305156199208
33,11,Average3v,Pres,5,-0.038227674803053446,0.9027014919676295
34,11,Average3v,Temp,5,-0.0428492705349639,0.8547638525827281
35,11,Average3v,UR,5,0.017741747722667678,0.9189147992733895
36,12,Average3v,Pres,5,-0.04568751566132989,0.8694617575400982
37,12,Average3v,Temp,5,-0.14691961545696586,0.9700308284843046
38,12,Average3v,UR,5,0.0004909514603456122,0.9326464670707405
39,13,Average3v,Pres,5,-0.009477425440670206,1.034915789856279
40,13,Average3v,Temp,5,0.012146641666522684,0.8852499405559567
41,13,Average3v,UR,5,-0.008825541779770019,0.941780854128898
42,14,Average3v,Pres,5,-0.019247763464895984,0.9210187472133958
43,14,Average3v,Temp,5,-0.0833275507675495,0.9087381486941247
44,14,Average3v,UR,5,-0.01655855307233911,1.0186031072639463
45,15,Average3v,Pres,5,-0.021417692880930872,0.955252631917289
46,15,Average3v,Temp,5,-0.0833275507675495,0.9087381486941247
47,15,Average3v,UR,5,-0.010335049347730108,0.9779417693449668
48,16,Average3v,Pres,5,-0.0445377088937946,1.0738030084846688
49,16,Average3v,Temp,5,0.007667415800930111,0.8771691019929803
50,16,Average3v,UR,5,-0.016986473657614187,1.0010077351824314
51,17,Average3v,Pres,5,0.017343923745474,0.970638685242227
52,17,Average3v,Temp,5,-0.03398868472481276,0.894736932609739
53,17,Average3v,UR,5,-0.01655855307233911,1.0186031072639463
54,18,Average3v,Pres,5,-0.009025990114064797,0.9651772193470545
55,18,Average3v,Temp,5,-0.004046354966735555,0.8933288537313039
56,18,Average3v,UR,5,0.00581599419739387,0.9674524953216453
57,19,Average3v,Pres,5,-0.03742257238278146,0.9441751688955282
58,19,Average3v,Temp,5,-0.10111084439384732,0.8918973499992339
59,19,Average3v,UR,5,0.004585169329513139,0.9444911760007514
60,20,Average3v,Pres,5,-0.015535301984580752,0.9382999381430337
61,20,Average3v,Temp,5,0.027039077950278045,0.8205068580018657
62,20,Average3v,UR,5,0.004126524926444497,0.9992352035009292
63,21,Average3v,Pres,5,-0.00016196422416459022,1.0302873377756137
64,21,Average3v,Temp,5,0.0974467061579396,0.8556135923677441
65,21,Average3v,UR,5,-0.06758538318646656,0.9243720256441508
66,22,Average3v,Pres,5,-0.014012624698144238,1.0130174633409967
67,22,Average3v,Temp,5,0.018289334525558698,1.00629716022065
68,22,Average3v,UR,5,-0.06090042090611725,0.9671305156199208
