,Technique,Percentage,ExecTime,AllocMemory
0,Average3v,5,1.3908720016479492,173.22265625
1,Average3v,5,1.3686401844024658,141.091796875
2,Average3v,5,1.382882833480835,140.689453125
3,Average3v,5,1.3793716430664062,140.369140625
4,Average3v,5,1.3873050212860107,140.455078125
5,Average3v,5,1.3729233741760254,140.552734375
6,Average3v,5,1.3909087181091309,140.455078125
7,Average3v,5,1.3794052600860596,140.455078125
8,Average3v,5,1.3912417888641357,140.591796875
9,Average3v,5,1.3878204822540283,140.455078125
10,Average3v,5,1.3886942863464355,140.455078125
11,Average3v,5,1.3746647834777832,140.634765625
12,Average3v,5,1.3830890655517578,140.455078125
13,Average3v,5,1.3644039630889893,140.455078125
14,Average3v,5,1.3863182067871094,140.455078125
15,Average3v,5,1.5104436874389648,140.681640625
16,Average3v,5,1.3869948387145996,140.455078125
17,Average3v,5,1.4234437942504883,139.330078125
18,Average3v,5,1.4069550037384033,139.330078125
19,Average3v,5,1.5141117572784424,139.611328125
20,Average3v,5,1.5934417247772217,139.330078125
21,Average3v,5,1.369579792022705,139.330078125
22,Average3v,5,1.4356961250305176,139.330078125
23,Average3v,5,1.5137829780578613,139.330078125
24,Average3v,5,1.481886625289917,139.673828125
25,Average3v,5,1.439216136932373,139.330078125
26,Average3v,5,1.3930764198303223,139.330078125
27,Average3v,5,1.3871850967407227,139.330078125
28,Average3v,5,1.3920230865478516,139.330078125
29,Average3v,5,1.3777379989624023,139.744140625
30,Average3v,5,1.3899521827697754,139.330078125
31,Average3v,5,1.3809454441070557,139.330078125
32,Average3v,5,1.3803646564483643,139.330078125
33,Average3v,5,1.377075433731079,139.330078125
34,Average3v,5,1.39064621925354,139.330078125
35,Average3v,5,1.3745317459106445,139.822265625
36,Average3v,5,1.3858046531677246,139.330078125
37,Average3v,5,1.3766279220581055,139.330078125
38,Average3v,5,1.385014295578003,139.330078125
39,Average3v,5,1.3772027492523193,139.330078125
40,Average3v,5,1.382589340209961,139.330078125
41,Average3v,5,1.363389015197754,139.330078125
42,Average3v,5,1.383518934249878,139.908203125
43,Average3v,5,1.3705565929412842,139.330078125
44,Average3v,5,1.3747329711914062,139.330078125
45,Average3v,5,1.368319034576416,139.330078125
46,Average3v,5,1.3805053234100342,139.330078125
47,Average3v,5,1.3837697505950928,139.330078125
48,Average3v,5,1.3762140274047852,139.330078125
49,Average3v,5,1.373490810394287,140.005859375
50,Average3v,10,3.4783918857574463,145.2373046875
51,Average3v,10,3.474073886871338,139.294921875
52,Average3v,10,3.4762816429138184,139.294921875
53,Average3v,10,3.4758527278900146,139.294921875
54,Average3v,10,3.4753706455230713,139.298828125
55,Average3v,10,3.480694532394409,139.298828125
56,Average3v,10,3.4763598442077637,139.298828125
57,Average3v,10,3.465857982635498,140.083984375
58,Average3v,10,3.473684549331665,139.298828125
59,Average3v,10,3.479797124862671,139.298828125
60,Average3v,10,3.482239007949829,139.298828125
61,Average3v,10,3.4826676845550537,139.298828125
62,Average3v,10,3.4796793460845947,139.298828125
63,Average3v,10,3.480724573135376,139.298828125
64,Average3v,10,3.4821202754974365,139.298828125
65,Average3v,10,3.4656918048858643,139.298828125
66,Average3v,10,3.478151321411133,139.298828125
67,Average3v,10,3.465454578399658,140.208984375
68,Average3v,10,3.49344539642334,139.298828125
69,Average3v,10,3.4993319511413574,139.298828125
70,Average3v,10,3.4866349697113037,139.298828125
71,Average3v,10,3.4872190952301025,139.298828125
72,Average3v,10,3.494677782058716,139.298828125
73,Average3v,10,3.4964523315429688,139.298828125
74,Average3v,10,3.497316598892212,139.298828125
75,Average3v,10,3.4939658641815186,139.298828125
76,Average3v,10,3.504650592803955,139.298828125
77,Average3v,10,3.5031373500823975,140.349609375
78,Average3v,10,3.4877684116363525,139.298828125
79,Average3v,10,3.4793288707733154,139.298828125
80,Average3v,10,3.4767088890075684,139.298828125
81,Average3v,10,3.4830543994903564,139.298828125
82,Average3v,10,3.4920947551727295,139.298828125
83,Average3v,10,3.4889719486236572,139.298828125
84,Average3v,10,3.4743480682373047,139.298828125
85,Average3v,10,3.500595808029175,139.298828125
86,Average3v,10,3.4781460762023926,139.298828125
87,Average3v,10,3.482008457183838,139.298828125
88,Average3v,10,3.4619598388671875,139.298828125
89,Average3v,10,3.4968466758728027,140.505859375
90,Average3v,10,3.4788107872009277,139.298828125
91,Average3v,10,3.48038911819458,139.298828125
92,Average3v,10,3.4922778606414795,139.298828125
93,Average3v,10,3.488162040710449,139.298828125
94,Average3v,10,3.504728317260742,139.298828125
95,Average3v,10,3.4768569469451904,139.298828125
96,Average3v,10,3.4947407245635986,139.298828125
97,Average3v,10,3.477613925933838,139.298828125
98,Average3v,10,3.5023984909057617,139.298828125
99,Average3v,10,3.4726572036743164,139.298828125
100,Average3v,25,14.086498975753784,139.298828125
101,Average3v,25,14.0922372341156,139.298828125
102,Average3v,25,14.267340898513794,139.298828125
103,Average3v,25,14.15327787399292,140.681640625
104,Average3v,25,14.317402124404907,139.298828125
105,Average3v,25,14.334274530410767,139.298828125
106,Average3v,25,14.316805601119995,139.298828125
107,Average3v,25,14.23038101196289,139.298828125
108,Average3v,25,14.260904788970947,139.298828125
109,Average3v,25,14.169943571090698,139.298828125
110,Average3v,25,14.219016313552856,139.298828125
111,Average3v,25,14.213058471679688,139.298828125
112,Average3v,25,14.113239049911499,139.298828125
113,Average3v,25,14.30042576789856,139.298828125
114,Average3v,25,14.472087383270264,139.298828125
115,Average3v,25,14.182687997817993,139.298828125
116,Average3v,25,14.250933647155762,139.298828125
117,Average3v,25,14.13246750831604,139.298828125
118,Average3v,25,14.206975221633911,140.880859375
119,Average3v,25,14.241206645965576,139.298828125
120,Average3v,25,14.13387680053711,139.298828125
121,Average3v,25,14.298908233642578,139.298828125
122,Average3v,25,14.173932790756226,139.298828125
123,Average3v,25,14.290782690048218,139.298828125
124,Average3v,25,14.197956800460815,139.298828125
125,Average3v,25,14.354147672653198,139.298828125
126,Average3v,25,14.210519075393677,139.298828125
127,Average3v,25,14.117398738861084,139.298828125
128,Average3v,25,14.220943689346313,139.298828125
129,Average3v,25,14.221212387084961,139.298828125
130,Average3v,25,14.158821821212769,139.298828125
131,Average3v,25,14.379981994628906,139.298828125
132,Average3v,25,14.2410147190094,139.298828125
133,Average3v,25,14.293764114379883,139.298828125
134,Average3v,25,14.158791065216064,139.298828125
135,Average3v,25,14.191322088241577,141.103515625
136,Average3v,25,14.221110582351685,139.298828125
137,Average3v,25,14.129860639572144,139.298828125
138,Average3v,25,14.14261507987976,139.298828125
139,Average3v,25,14.172972202301025,139.298828125
140,Average3v,25,14.26831603050232,139.298828125
141,Average3v,25,14.230388641357422,139.298828125
142,Average3v,25,14.102985620498657,139.298828125
143,Average3v,25,14.208133697509766,139.298828125
144,Average3v,25,14.081883668899536,139.298828125
145,Average3v,25,14.204471588134766,139.298828125
146,Average3v,25,14.133788824081421,139.298828125
147,Average3v,25,14.2445547580719,139.298828125
148,Average3v,25,14.168035507202148,139.298828125
149,Average3v,25,14.241664409637451,139.298828125
150,Average3v,50,48.021299839019775,139.298828125
151,Average3v,50,48.222068309783936,139.298828125
152,Average3v,50,48.60126614570618,139.298828125
153,Average3v,50,48.213340044021606,139.298828125
154,Average3v,50,48.10372757911682,141.353515625
155,Average3v,50,48.202199935913086,139.298828125
156,Average3v,50,48.26685404777527,139.298828125
157,Average3v,50,48.391398906707764,139.298828125
158,Average3v,50,48.71691656112671,139.298828125
159,Average3v,50,48.43353772163391,139.298828125
160,Average3v,50,48.24717998504639,139.298828125
161,Average3v,50,48.04188561439514,139.298828125
162,Average3v,50,48.747474908828735,139.298828125
163,Average3v,50,48.10459518432617,139.298828125
164,Average3v,50,48.49808883666992,139.298828125
165,Average3v,50,48.51046895980835,139.298828125
166,Average3v,50,48.535301208496094,139.298828125
167,Average3v,50,48.30619931221008,139.298828125
168,Average3v,50,47.66442251205444,139.298828125
169,Average3v,50,47.791741132736206,139.298828125
170,Average3v,50,47.421976804733276,139.298828125
171,Average3v,50,47.4455885887146,139.298828125
172,Average3v,50,47.791709423065186,139.298828125
173,Average3v,50,47.77683997154236,139.298828125
174,Average3v,50,47.384504318237305,139.298828125
175,Average3v,50,47.639482498168945,141.634765625
176,Average3v,50,48.23220229148865,139.298828125
177,Average3v,50,48.11996054649353,139.298828125
178,Average3v,50,47.67867112159729,139.298828125
