,Seed,Technique,Feature,Percentage,R2,RMSE
0,0,Average4v,Pres,5,0.9398078238571609,0.2146257804547552
1,0,Average4v,Temp,5,0.8571615781416759,0.30418929978461157
2,0,Average4v,UR,5,0.8049079590017894,0.4147320056111227
3,1,Average4v,Pres,5,0.9440283878454759,0.22910906992339053
4,1,Average4v,Temp,5,0.8805382404963713,0.3017680937792381
5,1,Average4v,UR,5,0.8078010911240774,0.4154466320256454
6,2,Average4v,Pres,5,0.9367088893807971,0.24331500471535472
7,2,Average4v,Temp,5,0.8454170727480016,0.32705084838177867
8,2,Average4v,UR,5,0.8078010911240774,0.4154466320256454
9,3,Average4v,Pres,5,0.9203241233747991,0.2558064722317343
10,3,Average4v,Temp,5,0.8671196773661682,0.3218836581118304
11,3,Average4v,UR,5,0.7728577549264148,0.42637765961001123
12,4,Average4v,Pres,5,0.9547061873118433,0.21230242683357284
13,4,Average4v,Temp,5,0.8722301335799727,0.31286019045233454
14,4,Average4v,UR,5,0.7226010975390241,0.5110326313120354
15,5,Average4v,Pres,5,0.9222895603751312,0.2632095591961182
16,5,Average4v,Temp,5,0.8649097919077713,0.31842411085620403
17,5,Average4v,UR,5,0.8181694595363255,0.41381223609523005
18,6,Average4v,Pres,5,0.9523186280375103,0.22110429001169274
19,6,Average4v,Temp,5,0.8906207795699097,0.2851173748726061
20,6,Average4v,UR,5,0.7966579286140323,0.4143353599218647
21,7,Average4v,Pres,5,0.9386180393530273,0.23094696675850365
22,7,Average4v,Temp,5,0.8927483831119593,0.2963725505471061
23,7,Average4v,UR,5,0.7962649691285688,0.4177578229919051
24,8,Average4v,Pres,5,0.9354993761615171,0.25363865713446204
25,8,Average4v,Temp,5,0.7948794290477441,0.3591512639384877
26,8,Average4v,UR,5,0.8225081397699601,0.4098920610440933
27,9,Average4v,Pres,5,0.9440602549187767,0.23550967160451208
28,9,Average4v,Temp,5,0.8149159021455162,0.3133119691070542
29,9,Average4v,UR,5,0.7728577549264148,0.42637765961001123
30,10,Average4v,Pres,5,0.9284336907635725,0.2540008779173205
31,10,Average4v,Temp,5,0.8454170727480016,0.32705084838177867
32,10,Average4v,UR,5,0.8049079590017894,0.4147320056111227
33,11,Average4v,Pres,5,0.9235699954439432,0.24492313086382392
34,11,Average4v,Temp,5,0.7811983257578756,0.3915260810897651
35,11,Average4v,UR,5,0.7865179473237732,0.4283937122858624
36,12,Average4v,Pres,5,0.9133234784539899,0.25032271484927743
37,12,Average4v,Temp,5,0.8904478952575265,0.2997984681401845
38,12,Average4v,UR,5,0.804379606717586,0.41260144841800445
39,13,Average4v,Pres,5,0.9457453422498766,0.23992484421104654
40,13,Average4v,Temp,5,0.8823241052757659,0.3055367259159444
41,13,Average4v,UR,5,0.7839817260212747,0.435799841957257
42,14,Average4v,Pres,5,0.9276381134319944,0.2454050679135609
