,Technique,Percentage,ExecTime,AllocMemory
0,Average4v,5,1.673776388168335,173.2373046875
1,Average4v,5,1.5690231323242188,141.0576171875
2,Average4v,5,1.7133891582489014,140.6552734375
3,Average4v,5,1.9653146266937256,140.3349609375
4,Average4v,5,1.9895493984222412,140.4208984375
5,Average4v,5,1.5485665798187256,140.5185546875
6,Average4v,5,1.436669111251831,140.4208984375
7,Average4v,5,1.4693920612335205,140.4208984375
8,Average4v,5,1.4010670185089111,140.5576171875
9,Average4v,5,1.3968007564544678,140.4208984375
10,Average4v,5,1.3969643115997314,140.4208984375
11,Average4v,5,1.3962490558624268,140.6005859375
12,Average4v,5,1.393052339553833,140.4208984375
13,Average4v,5,1.4025747776031494,140.4208984375
14,Average4v,5,1.3941550254821777,140.4208984375
15,Average4v,5,1.403196096420288,140.6474609375
16,Average4v,5,1.406628131866455,140.4208984375
17,Average4v,5,1.3998486995697021,139.2958984375
18,Average4v,5,1.406855583190918,139.2958984375
19,Average4v,5,1.3907983303070068,139.5771484375
20,Average4v,5,1.403564691543579,139.2958984375
21,Average4v,5,1.6621851921081543,139.2958984375
22,Average4v,5,1.6599702835083008,139.2958984375
23,Average4v,5,1.6679837703704834,139.2958984375
24,Average4v,5,1.5143189430236816,139.6396484375
25,Average4v,5,1.454341173171997,139.2958984375
26,Average4v,5,1.5427627563476562,139.2958984375
27,Average4v,5,1.584343671798706,139.2958984375
28,Average4v,5,1.4996838569641113,139.2958984375
29,Average4v,5,1.554858684539795,139.7099609375
30,Average4v,5,1.6279301643371582,139.2958984375
31,Average4v,5,1.5210537910461426,139.2958984375
32,Average4v,5,1.544064998626709,139.2958984375
33,Average4v,5,1.65675687789917,139.2958984375
34,Average4v,5,1.5940897464752197,139.2958984375
35,Average4v,5,1.4056308269500732,139.7880859375
36,Average4v,5,1.4011328220367432,139.2958984375
37,Average4v,5,1.3912327289581299,139.2958984375
38,Average4v,5,1.3976514339447021,139.2958984375
39,Average4v,5,1.3944883346557617,139.2958984375
40,Average4v,5,1.412825345993042,139.2958984375
41,Average4v,5,1.3981788158416748,139.2958984375
42,Average4v,5,1.4035696983337402,139.8740234375
43,Average4v,5,1.403808355331421,139.2958984375
44,Average4v,5,1.4028422832489014,139.2958984375
45,Average4v,5,1.3952054977416992,139.2958984375
46,Average4v,5,1.4113109111785889,139.2958984375
47,Average4v,5,1.3951194286346436,139.2958984375
48,Average4v,5,1.40132737159729,139.2958984375
49,Average4v,5,1.393383264541626,139.9716796875
50,Average4v,10,3.4662842750549316,145.203125
51,Average4v,10,3.4777562618255615,139.2607421875
52,Average4v,10,3.4484875202178955,139.2607421875
53,Average4v,10,3.4947264194488525,139.2607421875
54,Average4v,10,3.4716744422912598,139.2607421875
55,Average4v,10,3.488862991333008,139.2646484375
56,Average4v,10,3.4733939170837402,139.2646484375
57,Average4v,10,3.4926581382751465,140.0498046875
58,Average4v,10,3.474868059158325,139.2646484375
59,Average4v,10,3.492169141769409,139.2646484375
60,Average4v,10,3.476492166519165,139.2646484375
61,Average4v,10,3.479379892349243,139.2646484375
62,Average4v,10,3.4634504318237305,139.2646484375
63,Average4v,10,3.4906985759735107,139.2646484375
64,Average4v,10,3.4738619327545166,139.2646484375
65,Average4v,10,3.488197088241577,139.2646484375
66,Average4v,10,3.463243246078491,139.2646484375
67,Average4v,10,3.491893768310547,140.1748046875
68,Average4v,10,3.4880809783935547,139.2646484375
69,Average4v,10,3.490161895751953,139.2646484375
70,Average4v,10,3.470245361328125,139.2646484375
71,Average4v,10,3.4968574047088623,139.2646484375
72,Average4v,10,3.4711267948150635,139.2646484375
73,Average4v,10,3.490947961807251,139.2646484375
74,Average4v,10,3.4913313388824463,139.2646484375
75,Average4v,10,3.487180471420288,139.2646484375
76,Average4v,10,3.488457202911377,139.2646484375
77,Average4v,10,3.481576681137085,140.3154296875
78,Average4v,10,3.4838924407958984,139.2646484375
79,Average4v,10,3.5048439502716064,139.2646484375
80,Average4v,10,3.485361337661743,139.2646484375
81,Average4v,10,3.477959632873535,139.2646484375
82,Average4v,10,3.4814274311065674,139.2646484375
83,Average4v,10,3.4923253059387207,139.2646484375
84,Average4v,10,3.474275827407837,139.2646484375
85,Average4v,10,3.4859585762023926,139.2646484375
86,Average4v,10,3.4884183406829834,139.2646484375
87,Average4v,10,3.486393451690674,139.2646484375
88,Average4v,10,3.487545967102051,139.2646484375
89,Average4v,10,3.4850285053253174,140.4716796875
90,Average4v,10,3.473248243331909,139.2646484375
91,Average4v,10,3.4701292514801025,139.2646484375
92,Average4v,10,3.4649224281311035,139.2646484375
93,Average4v,10,3.490182399749756,139.2646484375
94,Average4v,10,3.476503372192383,139.2646484375
95,Average4v,10,3.4710588455200195,139.2646484375
96,Average4v,10,3.4826648235321045,139.2646484375
97,Average4v,10,3.468790292739868,139.2646484375
98,Average4v,10,3.484619140625,139.2646484375
99,Average4v,10,3.470897912979126,139.2646484375
100,Average4v,25,14.018157720565796,139.2646484375
101,Average4v,25,13.958522081375122,139.2646484375
102,Average4v,25,14.07124400138855,139.2646484375
103,Average4v,25,13.873032093048096,140.6474609375
104,Average4v,25,14.051909923553467,139.2646484375
105,Average4v,25,14.073485612869263,139.2646484375
106,Average4v,25,14.109549522399902,139.2646484375
107,Average4v,25,14.068631887435913,139.2646484375
108,Average4v,25,13.950233221054077,139.2646484375
109,Average4v,25,13.899185180664062,139.2646484375
110,Average4v,25,14.082033157348633,139.2646484375
111,Average4v,25,14.052374362945557,139.2646484375
112,Average4v,25,14.025863409042358,139.2646484375
113,Average4v,25,13.972699642181396,139.2646484375
114,Average4v,25,14.012080192565918,139.2646484375
115,Average4v,25,14.095365047454834,139.2646484375
116,Average4v,25,14.061779260635376,139.2646484375
117,Average4v,25,14.010690689086914,139.2646484375
118,Average4v,25,14.082828521728516,140.8466796875
119,Average4v,25,14.118998050689697,139.2646484375
120,Average4v,25,14.016021728515625,139.2646484375
121,Average4v,25,14.133265972137451,139.2646484375
122,Average4v,25,13.984900712966919,139.2646484375
123,Average4v,25,13.9823579788208,139.2646484375
124,Average4v,25,13.866467237472534,139.2646484375
125,Average4v,25,13.874355792999268,139.2646484375
126,Average4v,25,13.818251609802246,139.2646484375
127,Average4v,25,13.877249002456665,139.2646484375
128,Average4v,25,13.8438081741333,139.2646484375
129,Average4v,25,13.822309732437134,139.2646484375
130,Average4v,25,13.890133380889893,139.2646484375
131,Average4v,25,13.957204580307007,139.2646484375
132,Average4v,25,13.981536626815796,139.2646484375
133,Average4v,25,14.101112365722656,139.2646484375
134,Average4v,25,13.92751145362854,139.2646484375
135,Average4v,25,13.880795240402222,141.0693359375
136,Average4v,25,13.996557474136353,139.2646484375
137,Average4v,25,13.930392980575562,139.2646484375
138,Average4v,25,13.938660860061646,139.2646484375
139,Average4v,25,13.967563390731812,139.2646484375
140,Average4v,25,13.859526634216309,139.2646484375
141,Average4v,25,13.800296306610107,139.2646484375
142,Average4v,25,13.93202829360962,139.2646484375
143,Average4v,25,13.868742227554321,139.2646484375
144,Average4v,25,13.895834684371948,139.2646484375
145,Average4v,25,13.84638524055481,139.2646484375
146,Average4v,25,13.901262283325195,139.2646484375
147,Average4v,25,13.899620294570923,139.2646484375
148,Average4v,25,14.00507402420044,139.2646484375
149,Average4v,25,14.022979497909546,139.2646484375
150,Average4v,50,47.061575174331665,139.2646484375
151,Average4v,50,46.73368978500366,139.2646484375
152,Average4v,50,46.79468059539795,139.2646484375
153,Average4v,50,47.29307746887207,139.2646484375
154,Average4v,50,46.9836847782135,141.3193359375
155,Average4v,50,46.82703399658203,139.2646484375
156,Average4v,50,47.03444838523865,139.2646484375
157,Average4v,50,46.98835825920105,139.2646484375
158,Average4v,50,47.04321336746216,139.2646484375
159,Average4v,50,46.89770245552063,139.2646484375
160,Average4v,50,47.22977018356323,139.2646484375
161,Average4v,50,47.37624716758728,139.2646484375
162,Average4v,50,46.90237545967102,139.2646484375
