,Seed,Technique,Feature,Percentage,R2,RMSE
0,0,LastValue,Pres,5,0.9855942213598111,0.10499780824839533
1,0,LastValue,Temp,5,0.9397565872661813,0.1975496182008494
2,0,LastValue,UR,5,0.907200945916961,0.28603524548629566
3,1,LastValue,Pres,5,0.9885053499083784,0.10382603090200411
4,1,LastValue,Temp,5,0.9484216975236068,0.1982861536250326
5,1,LastValue,UR,5,0.9037550548630007,0.2939874209049457
6,2,LastValue,Pres,5,0.9874398516206073,0.10839142313362253
7,2,LastValue,Temp,5,0.9447471107081226,0.19552937546006655
8,2,LastValue,UR,5,0.9037550548630007,0.2939874209049457
9,3,LastValue,Pres,5,0.986615530003902,0.10484523380432115
10,3,LastValue,Temp,5,0.9499357372628582,0.19757523348773923
11,3,LastValue,UR,5,0.8853584904940447,0.30291196783104996
12,4,LastValue,Pres,5,0.9893336247735771,0.10302531414778851
13,4,LastValue,Temp,5,0.9486266913886248,0.19838318262209476
14,4,LastValue,UR,5,0.897664412996218,0.3103913470038874
15,5,LastValue,Pres,5,0.9834608998231653,0.12142774048372987
16,5,LastValue,Temp,5,0.9518613282761194,0.19008202974342275
17,5,LastValue,UR,5,0.9242281453703717,0.26713074303124046
18,6,LastValue,Pres,5,0.9897180310738203,0.10267410860459067
19,6,LastValue,Temp,5,0.9434004996180206,0.20509854086268212
20,6,LastValue,UR,5,0.9189454688460948,0.2615935463523309
21,7,LastValue,Pres,5,0.985343089035882,0.11285300018445095
22,7,LastValue,Temp,5,0.9442096784363476,0.21375460804462487
23,7,LastValue,UR,5,0.8678253533635326,0.33648508274281363
24,8,LastValue,Pres,5,0.9864943609322835,0.11606226914822743
25,8,LastValue,Temp,5,0.9293700705925988,0.21074980278891686
26,8,LastValue,UR,5,0.9172995078838406,0.279791381837523
27,9,LastValue,Pres,5,0.9888945817305844,0.10493393654879779
28,9,LastValue,Temp,5,0.9026656263382278,0.22720901144324906
29,9,LastValue,UR,5,0.8853584904940447,0.30291196783104996
30,10,LastValue,Pres,5,0.9867360049341521,0.10934982269321271
31,10,LastValue,Temp,5,0.9447471107081226,0.19552937546006655
32,10,LastValue,UR,5,0.907200945916961,0.28603524548629566
33,11,LastValue,Pres,5,0.9833975561718361,0.1141520905479801
34,11,LastValue,Temp,5,0.9092490691437831,0.25215113141485296
35,11,LastValue,UR,5,0.9080516620346787,0.28114757674876834
36,12,LastValue,Pres,5,0.9842435301170855,0.1067281508596019
37,12,LastValue,Temp,5,0.9593339027535774,0.1826565683007034
38,12,LastValue,UR,5,0.900902352384491,0.29366714224956586
39,13,LastValue,Pres,5,0.9872553049639735,0.11628439328752731
40,13,LastValue,Temp,5,0.9539288931475672,0.1911762722681226
41,13,LastValue,UR,5,0.9056646742208184,0.28799105538835557
42,14,LastValue,Pres,5,0.9867061966586885,0.10518485476865946
43,14,LastValue,Temp,5,0.9484216975236068,0.1982861536250326
44,14,LastValue,UR,5,0.8994151033913308,0.3204093524191668
45,15,LastValue,Pres,5,0.9867637248644777,0.10874253367909056
46,15,LastValue,Temp,5,0.9484216975236068,0.1982861536250326
47,15,LastValue,UR,5,0.9172995078838406,0.279791381837523
48,16,LastValue,Pres,5,0.9907676803481322,0.10095270755087571
49,16,LastValue,Temp,5,0.9336836768147981,0.22675920151076556
50,16,LastValue,UR,5,0.9123208724630006,0.29391919869278993
51,17,LastValue,Pres,5,0.985869881351877,0.11639376822882408
52,17,LastValue,Temp,5,0.9527255446852448,0.19131575594439543
53,17,LastValue,UR,5,0.8994151033913308,0.3204093524191668
54,18,LastValue,Pres,5,0.9849099609878499,0.1180323537671516
55,18,LastValue,Temp,5,0.9458998221087773,0.20736422178154412
56,18,LastValue,UR,5,0.897664412996218,0.3103913470038874
57,19,LastValue,Pres,5,0.9860012204780573,0.10967807383954567
58,19,LastValue,Temp,5,0.9401654297300378,0.20791003033125033
59,19,LastValue,UR,5,0.9022959831933859,0.29590483450261634
60,20,LastValue,Pres,5,0.9885686415697648,0.09955041993689064
61,20,LastValue,Temp,5,0.9447471107081226,0.19552937546006655
62,20,LastValue,UR,5,0.8889478995178277,0.33367912049147724
