,Technique,Percentage,ExecTime,AllocMemory
0,NN1-train,5,29.543811321258545,4060.126953125
1,NN1-test,5,2.4607906341552734,162.32421875
2,NN1-train,5,24.998600959777832,3910.38671875
3,NN1-test,5,2.4738593101501465,139.4638671875
4,NN1-train,5,24.583901405334473,3907.83984375
5,NN1-test,5,2.4886744022369385,139.4951171875
6,NN1-train,5,28.4841570854187,3911.54296875
7,NN1-test,5,2.493973970413208,139.4326171875
8,NN1-train,5,27.2621488571167,3907.35546875
9,NN1-test,5,2.4757497310638428,139.4326171875
10,NN1-train,5,28.244165658950806,3908.00390625
11,NN1-test,5,2.482407808303833,139.5302734375
12,NN1-train,5,24.68006682395935,3902.3359375
13,NN1-test,5,2.488279342651367,139.4677734375
14,NN1-train,5,23.312405824661255,3906.671875
15,NN1-test,5,2.49263072013855,139.4326171875
16,NN1-train,5,29.035601377487183,3908.921875
17,NN1-test,5,2.491649627685547,139.5693359375
18,NN1-train,5,26.04624843597412,3904.75390625
19,NN1-test,5,2.4716084003448486,139.4326171875
20,NN1-train,5,27.843428134918213,3906.328125
21,NN1-test,5,2.4915695190429688,139.4326171875
22,NN1-train,5,31.75007724761963,3911.08984375
23,NN1-test,5,2.4693145751953125,139.6123046875
24,NN1-train,5,28.267879486083984,3907.9296875
25,NN1-test,5,2.475287675857544,139.4326171875
26,NN1-train,5,29.563066959381104,3910.2890625
27,NN1-test,5,2.474043846130371,139.4326171875
28,NN1-train,5,25.292088747024536,3905.80859375
29,NN1-test,5,2.4799866676330566,139.4326171875
30,NN1-train,5,28.83576798439026,3905.296875
31,NN1-test,5,2.4974355697631836,139.6591796875
32,NN1-train,5,25.215789318084717,3902.1640625
33,NN1-test,5,2.49006724357605,139.4326171875
34,NN1-train,5,28.226547718048096,3905.1484375
35,NN1-test,5,2.4800593852996826,139.4326171875
36,NN1-train,5,23.351823329925537,3905.46484375
37,NN1-test,5,2.4923152923583984,139.4326171875
38,NN1-train,5,31.377532482147217,3904.4375
39,NN1-test,5,2.490713596343994,139.7138671875
40,NN1-train,5,22.91917610168457,3903.7890625
41,NN1-test,5,2.5025367736816406,139.4326171875
42,NN1-train,5,26.49985122680664,3902.3359375
43,NN1-test,5,2.495621919631958,139.4326171875
44,NN1-train,5,28.237168073654175,3907.734375
45,NN1-test,5,2.502729892730713,139.4326171875
46,NN1-train,5,26.09023928642273,3903.9296875
47,NN1-test,5,2.4867403507232666,139.4326171875
48,NN1-train,5,29.126351356506348,3902.515625
49,NN1-test,5,2.4904966354370117,139.7763671875
50,NN1-train,5,27.15018391609192,3903.796875
51,NN1-test,5,2.4406421184539795,139.4326171875
52,NN1-train,5,27.997913360595703,3902.484375
53,NN1-test,5,2.432070732116699,139.4326171875
54,NN1-train,5,28.389233589172363,3902.48046875
55,NN1-test,5,2.4394495487213135,139.4326171875
56,NN1-train,5,25.467830419540405,3904.9140625
57,NN1-test,5,2.4374852180480957,139.4326171875
58,NN1-train,5,29.348856210708618,3905.53125
59,NN1-test,5,2.43395733833313,139.8466796875
60,NN1-train,5,27.209277629852295,3902.4296875
61,NN1-test,5,2.4478023052215576,139.4326171875
62,NN1-train,5,28.419859170913696,3905.2578125
63,NN1-test,5,2.4474050998687744,139.4326171875
64,NN1-train,5,27.27259373664856,3909.62109375
65,NN1-test,5,2.4412851333618164,139.4326171875
66,NN1-train,5,25.82197904586792,3902.734375
67,NN1-test,5,2.446828603744507,139.4326171875
68,NN1-train,5,28.0447895526886,3903.56640625
69,NN1-test,5,2.4502179622650146,139.4326171875
70,NN1-train,5,21.471975326538086,3903.4453125
71,NN1-test,5,2.445382833480835,139.9248046875
72,NN1-train,5,25.489715099334717,3902.6953125
73,NN1-test,5,2.4540610313415527,139.4326171875
74,NN1-train,5,26.33212924003601,3905.859375
75,NN1-test,5,2.4415462017059326,139.4326171875
76,NN1-train,5,24.993180751800537,3906.33984375
77,NN1-test,5,2.440728187561035,139.4326171875
78,NN1-train,5,27.0861234664917,3902.359375
79,NN1-test,5,2.438596487045288,139.4326171875
80,NN1-train,5,26.30627155303955,3903.640625
81,NN1-test,5,2.4461522102355957,139.4326171875
82,NN1-train,5,25.33123779296875,3906.75390625
83,NN1-test,5,2.439446449279785,139.4326171875
84,NN1-train,5,24.96600341796875,3909.78515625
85,NN1-test,5,2.439950466156006,140.0107421875
86,NN1-train,5,29.791467428207397,3909.43359375
87,NN1-test,5,2.4458353519439697,139.4326171875
88,NN1-train,5,29.407740354537964,3902.58984375
89,NN1-test,5,2.4467713832855225,139.4365234375
90,NN1-train,5,21.887122631072998,3901.98046875
91,NN1-test,5,2.4334611892700195,139.4365234375
92,NN1-train,5,28.281655311584473,3902.54296875
93,NN1-test,5,2.449110269546509,139.4365234375
94,NN1-train,5,28.92617392539978,3903.3984375
95,NN1-test,5,2.4307987689971924,139.4365234375
96,NN1-train,5,24.52118492126465,3906.0078125
97,NN1-test,5,2.447103500366211,139.4365234375
98,NN1-train,5,32.37473106384277,3902.84375
99,NN1-test,5,2.443370819091797,140.1123046875
100,NN1-train,10,22.74263620376587,3905.66796875
101,NN1-test,10,5.729870319366455,145.37890625
102,NN1-train,10,24.19140934944153,3902.61328125
103,NN1-test,10,5.708099842071533,139.4365234375
104,NN1-train,10,26.284776210784912,3902.8359375
105,NN1-test,10,5.688000440597534,139.4365234375
106,NN1-train,10,25.530219554901123,3905.79296875
107,NN1-test,10,5.735231161117554,139.4365234375
108,NN1-train,10,24.161906480789185,3904.98828125
109,NN1-test,10,5.705943584442139,139.4365234375
110,NN1-train,10,22.318389892578125,3904.9765625
111,NN1-test,10,5.713989019393921,139.4365234375
112,NN1-train,10,25.931868314743042,3906.37890625
113,NN1-test,10,5.71104621887207,139.4365234375
114,NN1-train,10,24.132511377334595,3902.69140625
115,NN1-test,10,5.732284069061279,140.2216796875
116,NN1-train,10,24.9534912109375,3905.14453125
117,NN1-test,10,5.739175081253052,139.4365234375
118,NN1-train,10,22.361759185791016,3903.64453125
119,NN1-test,10,5.748525857925415,139.4365234375
120,NN1-train,10,23.90457034111023,3904.77734375
121,NN1-test,10,5.742693901062012,139.4365234375
122,NN1-train,10,22.38722825050354,3904.8828125
123,NN1-test,10,5.730675935745239,139.4365234375
124,NN1-train,10,21.077249765396118,3902.56640625
125,NN1-test,10,5.753093242645264,139.4365234375
126,NN1-train,10,25.198232412338257,3902.7421875
127,NN1-test,10,5.726855039596558,139.4365234375
128,NN1-train,10,23.77572250366211,3902.6171875
129,NN1-test,10,5.709903955459595,139.4365234375
130,NN1-train,10,25.843648195266724,3902.8046875
131,NN1-test,10,5.753889322280884,139.4365234375
132,NN1-train,10,24.837888956069946,3902.76953125
133,NN1-test,10,5.714618921279907,139.4365234375
134,NN1-train,10,23.08376431465149,3904.01953125
135,NN1-test,10,5.76018500328064,140.3466796875
136,NN1-train,10,27.718300342559814,3904.9609375
137,NN1-test,10,5.745713949203491,139.4365234375
138,NN1-train,10,20.95382571220398,3902.2890625
139,NN1-test,10,5.743186950683594,139.4365234375
140,NN1-train,10,26.270185947418213,3902.95703125
141,NN1-test,10,5.7791712284088135,139.4365234375
142,NN1-train,10,20.642271995544434,3902.1875
143,NN1-test,10,5.738391399383545,139.4365234375
144,NN1-train,10,20.681695222854614,3905.58984375
145,NN1-test,10,5.723682880401611,139.4365234375
146,NN1-train,10,19.85417366027832,3902.125
147,NN1-test,10,5.749563217163086,139.4365234375
148,NN1-train,10,24.19961643218994,3902.71484375
149,NN1-test,10,5.733835935592651,139.4365234375
150,NN1-train,10,28.013494968414307,3903.12109375
151,NN1-test,10,5.740860223770142,139.4365234375
152,NN1-train,10,22.493359327316284,3902.55078125
153,NN1-test,10,5.762397766113281,139.4365234375
154,NN1-train,10,22.0273699760437,3902.91015625
155,NN1-test,10,5.766989469528198,140.4873046875
156,NN1-train,10,22.867326021194458,3903.8046875
157,NN1-test,10,5.741735935211182,139.4365234375
158,NN1-train,10,23.572895288467407,3905.00390625
159,NN1-test,10,5.760479688644409,139.4365234375
160,NN1-train,10,19.89865279197693,3902.16796875
161,NN1-test,10,5.735563516616821,139.4365234375
162,NN1-train,10,28.268385887145996,3903.0234375
163,NN1-test,10,5.748498916625977,139.4365234375
164,NN1-train,10,23.892825603485107,3903.49609375
165,NN1-test,10,5.7625367641448975,139.4365234375
166,NN1-train,10,28.251789569854736,3903.1015625
167,NN1-test,10,5.721515655517578,139.4365234375
168,NN1-train,10,20.380634546279907,3903.40234375
169,NN1-test,10,5.7331061363220215,139.4365234375
170,NN1-train,10,26.521361351013184,3902.8671875
171,NN1-test,10,5.708942651748657,139.4365234375
172,NN1-train,10,22.344932079315186,3906.26953125
173,NN1-test,10,5.710211992263794,139.4365234375
174,NN1-train,10,21.254470825195312,3902.38671875
175,NN1-test,10,5.7632880210876465,139.4365234375
176,NN1-train,10,20.336541652679443,3902.19921875
177,NN1-test,10,5.6985626220703125,139.4365234375
178,NN1-train,10,20.96095609664917,3902.26171875
179,NN1-test,10,5.7615437507629395,140.6435546875
180,NN1-train,10,22.048500061035156,3903.015625
181,NN1-test,10,5.7281999588012695,139.4365234375
182,NN1-train,10,25.1886625289917,3902.7421875
183,NN1-test,10,5.729454278945923,139.4365234375
184,NN1-train,10,31.523923873901367,3905.09375
185,NN1-test,10,5.723500490188599,139.4365234375
186,NN1-train,10,25.965208292007446,3902.8046875
187,NN1-test,10,5.750098705291748,139.4365234375
188,NN1-train,10,22.728556632995605,3902.453125
189,NN1-test,10,5.724804162979126,139.4365234375
190,NN1-train,10,20.019110918045044,3902.16796875
191,NN1-test,10,5.72068190574646,139.4365234375
192,NN1-train,10,23.381690502166748,3902.62890625
193,NN1-test,10,5.719037771224976,139.4365234375
194,NN1-train,10,21.3600435256958,3905.07421875
195,NN1-test,10,5.723525762557983,139.4365234375
196,NN1-train,10,22.759753942489624,3902.375
197,NN1-test,10,5.738071918487549,139.4365234375
198,NN1-train,10,22.706881761550903,3902.4453125
199,NN1-test,10,5.741658449172974,139.4365234375
200,NN1-train,25,16.69991970062256,3904.0234375
201,NN1-test,25,20.32434368133545,139.4365234375
202,NN1-train,25,14.75114893913269,3903.30078125
203,NN1-test,25,20.219534158706665,139.4365234375
204,NN1-train,25,14.367680549621582,3903.21484375
205,NN1-test,25,20.162479400634766,139.4365234375
206,NN1-train,25,18.86613130569458,3904.33984375
207,NN1-test,25,20.14055562019348,140.8193359375
208,NN1-train,25,14.456982374191284,3904.09375
209,NN1-test,25,20.13395595550537,139.4365234375
210,NN1-train,25,16.12345290184021,3903.63671875
211,NN1-test,25,20.52199625968933,139.4365234375
212,NN1-train,25,16.586483478546143,3903.4765625
213,NN1-test,25,20.75937581062317,139.4365234375
214,NN1-train,25,14.943830728530884,3905.48828125
215,NN1-test,25,20.613932609558105,139.4365234375
216,NN1-train,25,18.262304544448853,3903.953125
217,NN1-test,25,20.538498163223267,139.4365234375
218,NN1-train,25,18.542311906814575,3904.84765625
219,NN1-test,25,20.85958981513977,139.4365234375
220,NN1-train,25,17.284621953964233,3904.078125
221,NN1-test,25,20.500584840774536,139.4365234375
222,NN1-train,25,17.626179456710815,3903.90234375
223,NN1-test,25,20.552892208099365,139.4365234375
224,NN1-train,25,16.369694471359253,3903.61328125
225,NN1-test,25,20.539236783981323,139.4365234375
226,NN1-train,25,18.83115577697754,3904.77734375
227,NN1-test,25,20.540462255477905,139.4365234375
228,NN1-train,25,16.67022204399109,3905.76953125
229,NN1-test,25,20.776944875717163,139.4365234375
230,NN1-train,25,17.257378816604614,3903.76171875
231,NN1-test,25,20.599480152130127,139.4365234375
232,NN1-train,25,18.047540187835693,3903.953125
233,NN1-test,25,20.565868139266968,139.4365234375
234,NN1-train,25,16.495078563690186,3903.578125
235,NN1-test,25,20.67673349380493,139.4365234375
236,NN1-train,25,16.60008931159973,3903.66796875
237,NN1-test,25,20.688029527664185,141.0185546875
238,NN1-train,25,16.45655632019043,3903.6171875
239,NN1-test,25,20.523682355880737,139.4365234375
240,NN1-train,25,15.359397172927856,3903.3984375
241,NN1-test,25,20.464826107025146,139.4365234375
242,NN1-train,25,18.58179521560669,3904.20703125
243,NN1-test,25,20.433136701583862,139.4365234375
244,NN1-train,25,18.145228385925293,3906.26171875
245,NN1-test,25,20.471951007843018,139.4365234375
246,NN1-train,25,16.714111328125,3903.7578125
247,NN1-test,25,20.359084367752075,139.4365234375
248,NN1-train,25,16.954577207565308,3903.75
249,NN1-test,25,20.03078532218933,139.4365234375
250,NN1-train,25,18.493489265441895,3904.13671875
251,NN1-test,25,20.046404123306274,139.4365234375
252,NN1-train,25,16.08587336540222,3903.5859375
253,NN1-test,25,20.0726637840271,139.4365234375
254,NN1-train,25,15.053542137145996,3903.40625
255,NN1-test,25,20.147892951965332,139.4365234375
