,Seed,Technique,Feature,Percentage,R2,RMSE
0,0,NN2,Pres,5,0.9924808346961893,0.07585717783796994
1,0,NN2,Temp,5,0.9667372815109815,0.1467912881735672
2,0,NN2,UR,5,0.9431110506650773,0.22395549990335686
3,1,NN2,Pres,5,0.9960327067891566,0.06099658539581306
4,1,NN2,Temp,5,0.9774664553001156,0.13106104411131347
5,1,NN2,UR,5,0.9466116930920832,0.21895902867385966
6,2,NN2,Pres,5,0.9947305973341168,0.07020664615913785
7,2,NN2,Temp,5,0.970854935842279,0.1420093777202736
8,2,NN2,UR,5,0.9466116930920832,0.21895902867385966
9,3,NN2,Pres,5,0.9880351972605339,0.09912903415186552
10,3,NN2,Temp,5,0.974201325929698,0.14182973266118037
11,3,NN2,UR,5,0.9332297239834186,0.23117297932585654
12,4,NN2,Pres,5,0.9948605795996311,0.0715142503981031
13,4,NN2,Temp,5,0.9719947887774139,0.14647230339936815
14,4,NN2,UR,5,0.9387735070067336,0.24008551303418724
15,5,NN2,Pres,5,0.9933713083402828,0.07687336355912552
16,5,NN2,Temp,5,0.9730432384100327,0.142242005965295
17,5,NN2,UR,5,0.9577363365191942,0.1995048616511387
18,6,NN2,Pres,5,0.9954626419079693,0.0682062739936615
19,6,NN2,Temp,5,0.9761378081324692,0.1331715450920385
20,6,NN2,UR,5,0.9515150114153298,0.20232149495357574
21,7,NN2,Pres,5,0.9937406455586817,0.07374908844018467
22,7,NN2,Temp,5,0.9763287672310951,0.13923438202214122
23,7,NN2,UR,5,0.9086879794101711,0.27967633071001996
24,8,NN2,Pres,5,0.9937533986734489,0.07893241347413374
25,8,NN2,Temp,5,0.9698808917317953,0.13762389520149945
26,8,NN2,UR,5,0.9409153917108894,0.23649255133304659
27,9,NN2,Pres,5,0.9955256102731959,0.06660631546696338
28,9,NN2,Temp,5,0.9479537828421696,0.16614490110857963
29,9,NN2,UR,5,0.9332297239834186,0.23117297932585654
30,10,NN2,Pres,5,0.9941733739982074,0.07247520937135332
31,10,NN2,Temp,5,0.970854935842279,0.1420093777202736
32,10,NN2,UR,5,0.9431110506650773,0.22395549990335686
33,11,NN2,Pres,5,0.9933164677861213,0.0724270643457667
34,11,NN2,Temp,5,0.9615804445300032,0.16406333853632787
