,Technique,Feature,Percentage,mean,std,count,IC
0,Average3v,Pres,5,0.19491431539809465,0.009307514162449565,50,0.0025798638945855323
1,Average3v,Pres,10,0.19430697343315015,0.004363774322358977,50,0.001209554304391236
2,Average3v,Pres,25,0.19451046926990834,0.002644948501120505,50,0.0007331288485821763
3,Average3v,Pres,50,0.1941012866869887,0.0014546967894120788,50,0.00040321396874307136
4,Average3v,Temp,5,0.36087146083569016,0.023461466982589014,50,0.006503067363204773
5,Average3v,Temp,10,0.3626778538332774,0.011481092496625855,50,0.0031823379997572565
6,Average3v,Temp,25,0.363045361987151,0.004594936809358029,50,0.0012736280993468907
7,Average3v,Temp,50,0.36282396550173446,0.00270996519383813,50,0.0007511502251989488
8,Average3v,UR,5,0.4757324062182308,0.03138035982972406,50,0.008698032139496714
9,Average3v,UR,10,0.4874957754044887,0.012801774868537943,50,0.003548405749754069
10,Average3v,UR,25,0.48657912185181024,0.006243638394443063,50,0.0017306164657430179
11,Average3v,UR,50,0.4861065014838896,0.00335386076149925,50,0.000929625691139635
12,Average4v,Pres,5,0.24088797308699006,0.013317136000394338,50,0.0036912539424662494
13,Average4v,Pres,10,0.24010823993993788,0.005524331539691009,50,0.0015312384415666624
14,Average4v,Pres,25,0.24101814969989868,0.0037576677143231407,50,0.001041553211183155
15,Average4v,Pres,50,0.240789696676923,0.0018745421368879021,50,0.000519587023283502
16,Average4v,Temp,5,0.3197724095640307,0.02164634976645035,50,0.005999951784906865
17,Average4v,Temp,10,0.31946747962611255,0.011004262840984508,50,0.0030501699910939206
18,Average4v,Temp,25,0.31944446479586813,0.004851530426234878,50,0.001344750914333559
19,Average4v,Temp,50,0.319565126380421,0.002386776734477839,50,0.0006615686008363264
20,Average4v,UR,5,0.43140902380126694,0.03048325569877763,50,0.008449372130312993
21,Average4v,UR,10,0.4377021579071676,0.011773666413423471,50,0.0032634338617961722
22,Average4v,UR,25,0.43821047273265856,0.005089591015565722,50,0.0014107367305696838
23,Average4v,UR,50,0.4381206807408843,0.0034328206380988247,50,0.0009515118501295383
24,LastValue,Pres,5,0.11024763579740465,0.007463666064829861,50,0.0020687846685833178
25,LastValue,Pres,10,0.11046460976868627,0.004385008371058577,50,0.0012154399742510813
26,LastValue,Pres,25,0.11130335090003296,0.0025293842728042674,50,0.0007010966673858671
27,LastValue,Pres,50,0.1105424679579852,0.0013081570559288188,50,0.0003625959733323525
28,LastValue,Temp,5,0.2106412338369264,0.01975377162306433,50,0.005475365527546988
29,LastValue,Temp,10,0.2149444628806715,0.010567885592314573,50,0.0029292146115357243
30,LastValue,Temp,25,0.21591027331321888,0.003965928102785959,50,0.0010992789849493811
31,LastValue,Temp,50,0.2159219272763887,0.002456790295079496,50,0.0006809750131151759
32,LastValue,UR,5,0.295185294002039,0.02395710707203152,50,0.006640449262296622
33,LastValue,UR,10,0.3043784097105292,0.010935831836632532,50,0.003031202232966823
34,LastValue,UR,25,0.3044043147159765,0.005049713572943038,50,0.0013996834705224392
35,LastValue,UR,50,0.30402733499694595,0.002931995501696218,50,0.0008126927557553509
36,NN1,Pres,5,0.07081967969141219,0.00969718108786061,50,0.002687872071015479
37,NN1,Pres,10,0.07213259335222885,0.005949083037734921,50,0.0016489713866741224
38,NN1,Pres,25,0.07536329949171824,0.0038351958744159997,50,0.0010630425258966458
39,NN1,Pres,50,0.09171825834065256,0.002076180866929951,50,0.0005754774007039748
40,NN1,Temp,5,0.1554087284820759,0.021628956006013396,50,0.005995130569084989
41,NN1,Temp,10,0.16128084609334653,0.012399787918133872,50,0.003436982699373342
42,NN1,Temp,25,0.16295757490861226,0.005104393053762235,50,0.0014148395708385997
43,NN1,Temp,50,0.17022567300165764,0.003947705656537193,50,0.0010942280733603482
44,NN1,UR,5,0.24520077888447567,0.026706553585479922,50,0.0074025429498632556
45,NN1,UR,10,0.25155761229004914,0.011066003588877604,50,0.0030672833388185605
46,NN1,UR,25,0.2531892854484593,0.006406422463139719,50,0.0017757370784129978
47,NN1,UR,50,0.2563510520517452,0.004650703188798616,50,0.0012890854670542518
48,NN2,Pres,5,0.07426828978863206,0.01285351118866657,50,0.0035627460625388685
49,NN2,Pres,10,0.07278682367020795,0.00559699298189797,50,0.0015513787956941416
50,NN2,Pres,25,0.08334909607333799,0.003984105876020043,50,0.0011043175140380418
51,NN2,Pres,50,0.09612868586449803,0.0031711446906941805,50,0.0008789803108798511
52,NN2,Temp,5,0.14950004586773702,0.01865876178729732,50,0.005171849863728983
53,NN2,Temp,10,0.1562754793686652,0.012450378155925012,50,0.003451005340179225
54,NN2,Temp,25,0.15894496193843,0.0062057618509463045,50,0.0017201178164459596
55,NN2,Temp,50,0.17300709313943957,0.016472067777517037,50,0.004565740345561592
56,NN2,UR,5,0.23652307617146515,0.02407748164234876,50,0.006673814777768072
57,NN2,UR,10,0.24369253678600242,0.009536414014060413,50,0.002643310530533627
58,NN2,UR,25,0.2463288999325835,0.00544061552847821,50,0.0015080339735468462
59,NN2,UR,50,0.2570492491231281,0.005098659841698776,50,0.0014132504347336705
