,Technique,Feature,Percentage,mean,std,count,IC
0,NN1,Pres,5,0.07081967969141209,0.00969718108786062,50,0.002687872071015479
1,NN1,Pres,10,0.07211025198210691,0.006030263728237414,50,0.0016714731125602733
2,NN1,Pres,25,0.07396003184174553,0.003588607695646577,50,0.0009946930258974557
3,NN1,Pres,50,0.07311926965498328,0.002222268901109278,50,0.0006159701937561435
4,NN1,Temp,5,0.15540872848207585,0.021628956006013358,50,0.005995130569084961
5,NN1,Temp,10,0.16135008123933525,0.012064214827791913,50,0.00334396829352257
6,NN1,Temp,25,0.16201619170503648,0.005483440950135411,50,0.0015199043566776482
7,NN1,Temp,50,0.1631374778376694,0.003386735761613136,50,0.0009387380088163033
8,NN1,UR,5,0.2452007788844758,0.026706553585479905,50,0.007402542949863228
9,NN1,UR,10,0.25195937856483436,0.010421944243572498,50,0.0028887624768652587
10,NN1,UR,25,0.2526660781565738,0.0061753757557980755,50,0.0017116953753513742
11,NN1,UR,50,0.25280139617459646,0.003712669749592202,50,0.0010290806409014586
12,NN2,Pres,5,0.07426828978863198,0.012853511188666534,50,0.0035627460625388685
13,NN2,Pres,10,0.0747395121035864,0.009583174095626392,50,0.0026562715257074793
14,NN2,Pres,25,0.07657864982259491,0.006241635284750484,50,0.001730061242266323
15,NN2,Pres,50,0.07558583100793843,0.0031866198844544224,50,0.0008832697369228204
16,NN2,Temp,5,0.14950004586773696,0.01865876178729729,50,0.005171849863728983
17,NN2,Temp,10,0.155653357988677,0.012135149207765619,50,0.003363629939219265
18,NN2,Temp,25,0.15675577887836162,0.005719438776358475,50,0.0015853184146578103
19,NN2,Temp,50,0.15783827605540363,0.003386778178586952,50,0.0009387497659855415
20,NN2,UR,5,0.2365230761714652,0.024077481642348804,50,0.006673814777768072
21,NN2,UR,10,0.24392577241645239,0.009990215737414904,50,0.0027690956393123245
22,NN2,UR,25,0.24444383022900926,0.0054751759080838,50,0.001517613446000099
23,NN2,UR,50,0.24471285514554061,0.0033212029813527136,50,0.0009205735826596506
