,Technique,Feature,Percentage,mean,std,count,IC
0,NN1,Pres,5,0.9944241203908156,0.0018181943420189934,50,0.0005039684984030623
1,NN1,Pres,10,0.9944423759323603,0.0009265330326603716,50,0.00025681713467007317
2,NN1,Pres,25,0.9942180916885244,0.0006071987182008977,50,0.0001683038051389918
3,NN1,Pres,50,0.9943670813261203,0.00033202194520334284,50,9.20300967250931e-05
4,NN1,Temp,5,0.9671658520590877,0.010243807131006874,50,0.002839386295752533
5,NN1,Temp,10,0.9660629668603876,0.004960458530558079,50,0.0013749436896056677
6,NN1,Temp,25,0.9659447242474803,0.0024186478056720845,50,0.0006704026487271975
7,NN1,Temp,50,0.9656081980922291,0.001467810344114935,50,0.0004068487938657661
8,NN1,UR,5,0.9323969573667458,0.016269768890418077,50,0.004509666985303196
9,NN1,UR,10,0.9289544874649703,0.00628692639841599,50,0.00174261506779394
10,NN1,UR,25,0.9281024336830864,0.003588662049656136,50,0.0009947080917833695
11,NN1,UR,50,0.928158384934203,0.0020775292990720963,50,0.0005758511601564598
12,NN2,Pres,5,0.9937335938080522,0.002745045723761035,50,0.0007608738733150266
13,NN2,Pres,10,0.9939779049191237,0.001754301249189268,50,0.0004862585620625248
14,NN2,Pres,25,0.9937721660920755,0.0011190231534294497,50,0.0003101716935747234
15,NN2,Pres,50,0.9939750235710008,0.000515952750628862,50,0.0001430121780560123
16,NN2,Temp,5,0.9696122723110547,0.009021473936193724,50,0.002500579045888407
17,NN2,Temp,10,0.9684143630664961,0.004756995064113499,50,0.001318547530353431
18,NN2,Temp,25,0.9681146020091382,0.002435638128815272,50,0.0006751120394913324
19,NN2,Temp,50,0.9678050716462543,0.0014202582886411247,50,0.0003936682787584189
20,NN2,UR,5,0.9373696808958649,0.01326680834563127,50,0.003677304084624966
21,NN2,UR,10,0.9334162394710492,0.005806533938284978,50,0.0016094595182570837
22,NN2,UR,25,0.932716109914707,0.003000676500404609,50,0.0008317298075093404
23,NN2,UR,50,0.9326863904291578,0.0017061098453002564,50,0.00047290083187245813
