,Technique,Percentage,ExecTime,AllocMemory
0,NN1-train,5,29.164299249649048,4068.791015625
1,NN1-test,5,2.4460670948028564,162.8349609375
2,NN1-test,10,5.758996486663818,145.4560546875
3,NN1-test,25,20.148650407791138,139.544921875
4,NN1-test,50,60.86345815658569,139.482421875
5,NN1-train,5,25.050829887390137,3913.7421875
6,NN1-test,5,2.4582443237304688,139.513671875
7,NN1-test,10,5.77118444442749,139.580078125
8,NN1-test,25,20.267379999160767,139.482421875
9,NN1-test,50,61.07532739639282,139.482421875
10,NN1-train,5,24.96731162071228,3908.625
11,NN1-test,5,2.5000295639038086,139.603515625
12,NN1-test,10,5.729718208312988,139.482421875
13,NN1-test,25,20.24943995475769,139.482421875
14,NN1-test,50,61.21139359474182,139.662109375
15,NN1-train,5,28.420589447021484,3910.91015625
16,NN1-test,5,2.4768524169921875,139.466796875
17,NN1-test,10,5.779737949371338,139.482421875
18,NN1-test,25,20.298442840576172,139.482421875
19,NN1-test,50,61.203887939453125,139.708984375
20,NN1-train,5,27.133171319961548,3907.23828125
21,NN1-test,5,2.4502668380737305,139.466796875
22,NN1-test,10,5.75107216835022,139.482421875
23,NN1-test,25,20.386110544204712,139.482421875
24,NN1-test,50,60.912845611572266,139.763671875
25,NN1-train,5,27.917617559432983,3907.60546875
26,NN1-test,5,2.4671471118927,139.466796875
27,NN1-test,10,5.751952886581421,139.482421875
28,NN1-test,25,20.31617045402527,139.482421875
29,NN1-test,50,61.04803013801575,139.482421875
30,NN1-train,5,24.54343342781067,3902.421875
31,NN1-test,5,2.454699993133545,139.845703125
32,NN1-test,10,5.72844934463501,139.482421875
33,NN1-test,25,20.356668710708618,139.482421875
34,NN1-test,50,61.09100580215454,139.482421875
35,NN1-train,5,23.234189987182617,3904.5625
36,NN1-test,5,2.456282615661621,139.466796875
37,NN1-test,10,5.775285959243774,139.896484375
38,NN1-test,25,20.197482109069824,139.482421875
39,NN1-test,50,60.02950859069824,139.482421875
40,NN1-train,5,28.17764449119568,3906.9375
41,NN1-test,5,2.4093148708343506,139.466796875
42,NN1-test,10,5.65234637260437,139.482421875
43,NN1-test,25,20.060790300369263,139.482421875
44,NN1-test,50,60.115477561950684,139.974609375
45,NN1-train,5,25.194459199905396,3903.85546875
46,NN1-test,5,2.406712770462036,139.466796875
47,NN1-test,10,5.630984544754028,139.482421875
48,NN1-test,25,20.125624656677246,139.482421875
49,NN1-test,50,59.97004818916321,139.482421875
50,NN1-train,5,26.98271679878235,3906.59375
51,NN1-test,5,2.428933620452881,139.466796875
52,NN1-test,10,5.647685527801514,139.482421875
53,NN1-test,25,20.07147979736328,140.060546875
54,NN1-test,50,60.33142375946045,139.482421875
55,NN1-train,5,31.616328477859497,3911.44140625
56,NN1-test,5,2.474503993988037,139.466796875
57,NN1-test,10,5.7631731033325195,139.482421875
58,NN1-test,25,20.34697937965393,139.482421875
59,NN1-test,50,61.135799169540405,139.482421875
60,NN1-train,5,27.951655864715576,3908.1953125
61,NN1-test,5,2.4519248008728027,139.466796875
62,NN1-test,10,5.749861001968384,140.158203125
63,NN1-test,25,20.38348150253296,139.482421875
64,NN1-test,50,61.26581907272339,139.482421875
65,NN1-train,5,29.31793999671936,3909.734375
66,NN1-test,5,2.4640555381774902,139.466796875
67,NN1-test,10,5.814116716384888,139.482421875
68,NN1-test,25,20.41355609893799,139.482421875
69,NN1-test,50,61.57301664352417,139.482421875
70,NN1-train,5,24.993508100509644,3906.16015625
71,NN1-test,5,2.4644806385040283,139.466796875
72,NN1-test,10,5.773333311080933,140.267578125
73,NN1-test,25,20.637513875961304,139.482421875
74,NN1-test,50,61.880664587020874,139.482421875
75,NN1-train,5,28.47879123687744,3905.5625
76,NN1-test,5,2.4785687923431396,139.466796875
77,NN1-test,10,5.762421131134033,139.482421875
78,NN1-test,25,20.332640886306763,139.482421875
79,NN1-test,50,61.740832567214966,139.482421875
80,NN1-train,5,24.384894609451294,3902.4296875
81,NN1-test,5,2.444873809814453,139.466796875
82,NN1-test,10,5.672873020172119,139.482421875
83,NN1-test,25,20.254108667373657,139.482421875
84,NN1-test,50,60.6464524269104,140.392578125
85,NN1-train,5,27.444841384887695,3905.4140625
86,NN1-test,5,2.449819803237915,139.466796875
87,NN1-test,10,5.670481443405151,139.482421875
88,NN1-test,25,19.94106698036194,139.482421875
89,NN1-test,50,60.88250732421875,139.482421875
90,NN1-train,5,22.657639741897583,3905.81640625
91,NN1-test,5,2.4376919269561768,139.466796875
92,NN1-test,10,5.719735383987427,139.482421875
93,NN1-test,25,20.28056764602661,139.482421875
94,NN1-test,50,60.36915993690491,139.482421875
95,NN1-train,5,30.386950254440308,3903.859375
96,NN1-test,5,2.4418537616729736,139.470703125
97,NN1-test,10,5.674169540405273,140.537109375
98,NN1-test,25,20.257786750793457,139.486328125
99,NN1-test,50,60.54641509056091,139.486328125
100,NN1-train,5,22.273045539855957,3904.05859375
101,NN1-test,5,2.4388601779937744,139.470703125
102,NN1-test,10,5.69890284538269,139.486328125
103,NN1-test,25,20.21953535079956,139.486328125
104,NN1-test,50,61.01461696624756,139.486328125
105,NN1-train,5,26.35561513900757,3902.60546875
106,NN1-test,5,2.5033023357391357,139.470703125
107,NN1-test,10,5.7832489013671875,139.486328125
108,NN1-test,25,20.597246646881104,139.486328125
109,NN1-test,50,61.78596615791321,139.486328125
110,NN1-train,5,28.06560468673706,3908.00390625
111,NN1-test,5,2.521944046020508,139.470703125
112,NN1-test,10,5.815031290054321,140.693359375
113,NN1-test,25,20.508006811141968,139.486328125
114,NN1-test,50,61.74194002151489,139.486328125
115,NN1-train,5,25.92862582206726,3904.19921875
116,NN1-test,5,2.5201048851013184,139.470703125
117,NN1-test,10,5.83465838432312,139.486328125
118,NN1-test,25,20.671154022216797,139.486328125
119,NN1-test,50,61.88897132873535,139.486328125
120,NN1-train,5,28.893834114074707,3902.78515625
121,NN1-test,5,2.514582872390747,139.470703125
122,NN1-test,10,5.802844047546387,139.486328125
123,NN1-test,25,20.425897121429443,139.486328125
124,NN1-test,50,61.32072162628174,139.486328125
125,NN1-train,5,27.125539541244507,3902.66015625
126,NN1-test,5,2.506744861602783,139.470703125
127,NN1-test,10,5.810986518859863,139.486328125
128,NN1-test,25,20.497670888900757,139.486328125
129,NN1-test,50,61.671236515045166,140.869140625
130,NN1-train,5,28.35878086090088,3902.75390625
131,NN1-test,5,2.494204521179199,139.470703125
132,NN1-test,10,5.82042121887207,139.486328125
133,NN1-test,25,20.50716257095337,139.486328125
134,NN1-test,50,61.07097887992859,139.486328125
135,NN1-train,5,28.20183253288269,3902.8359375
136,NN1-test,5,2.4511234760284424,139.470703125
137,NN1-test,10,5.70918869972229,139.486328125
138,NN1-test,25,19.970850467681885,139.486328125
139,NN1-test,50,60.879255056381226,139.486328125
140,NN1-train,5,25.249968767166138,3905.18359375
141,NN1-test,5,2.450977087020874,139.470703125
142,NN1-test,10,5.772043228149414,139.486328125
143,NN1-test,25,20.476699113845825,139.486328125
144,NN1-test,50,62.18964099884033,139.486328125
145,NN1-train,5,29.780148029327393,3905.80078125
146,NN1-test,5,2.503695487976074,139.470703125
147,NN1-test,10,5.818482398986816,139.486328125
148,NN1-test,25,20.699001789093018,141.068359375
149,NN1-test,50,61.46119022369385,139.486328125
150,NN1-train,5,27.576049089431763,3902.69921875
151,NN1-test,5,2.50532603263855,139.470703125
152,NN1-test,10,5.816164255142212,139.486328125
153,NN1-test,25,20.541096687316895,139.486328125
154,NN1-test,50,61.59979772567749,139.486328125
155,NN1-train,5,29.07652473449707,3905.52734375
156,NN1-test,5,2.5184245109558105,139.470703125
157,NN1-test,10,5.842217445373535,139.486328125
158,NN1-test,25,20.72330069541931,139.486328125
159,NN1-test,50,61.90467429161072,139.486328125
160,NN1-train,5,27.64996075630188,3909.9765625
161,NN1-test,5,2.5029804706573486,139.470703125
162,NN1-test,10,5.853543281555176,139.486328125
163,NN1-test,25,20.500186681747437,139.486328125
164,NN1-test,50,61.644508838653564,139.486328125
165,NN1-train,5,26.3443660736084,3902.53515625
166,NN1-test,5,2.5155997276306152,139.470703125
167,NN1-test,10,5.803271293640137,139.486328125
168,NN1-test,25,20.18388080596924,139.486328125
169,NN1-test,50,60.79214525222778,141.291015625
170,NN1-train,5,27.958847761154175,3902.796875
171,NN1-test,5,2.450544595718384,139.470703125
172,NN1-test,10,5.69270396232605,139.486328125
173,NN1-test,25,20.027918100357056,139.486328125
174,NN1-test,50,60.75107502937317,139.486328125
175,NN1-train,5,21.348933696746826,3902.15234375
176,NN1-test,5,2.441209316253662,139.470703125
177,NN1-test,10,5.664568662643433,139.486328125
178,NN1-test,25,19.971367120742798,139.486328125
179,NN1-test,50,60.866939306259155,139.486328125
180,NN1-train,5,25.297436952590942,3902.96484375
181,NN1-test,5,2.464479923248291,139.470703125
182,NN1-test,10,5.654179573059082,139.486328125
183,NN1-test,25,20.029576539993286,139.486328125
184,NN1-test,50,60.41404867172241,139.486328125
185,NN1-train,5,26.096078395843506,3905.23828125
186,NN1-test,5,2.453657865524292,139.470703125
187,NN1-test,10,5.6927809715271,139.486328125
188,NN1-test,25,19.980727672576904,139.486328125
189,NN1-test,50,60.47390937805176,139.486328125
190,NN1-train,5,24.684239864349365,3906.1796875
191,NN1-test,5,2.4489707946777344,139.470703125
192,NN1-test,10,5.659224510192871,139.486328125
193,NN1-test,25,19.880348205566406,141.541015625
194,NN1-test,50,60.40872120857239,139.486328125
195,NN1-train,5,27.0390362739563,3902.62890625
196,NN1-test,5,2.439910888671875,139.470703125
197,NN1-test,10,5.639005184173584,139.486328125
198,NN1-test,25,20.022687911987305,139.486328125
199,NN1-test,50,60.53160214424133,139.486328125
200,NN1-train,5,26.291210174560547,3903.91015625
201,NN1-test,5,2.509655237197876,139.470703125
202,NN1-test,10,5.819506883621216,139.486328125
203,NN1-test,25,20.40898633003235,139.486328125
204,NN1-test,50,61.52639889717102,139.486328125
205,NN1-train,5,25.87543511390686,3903.484375
206,NN1-test,5,2.509674549102783,139.470703125
207,NN1-test,10,5.809856414794922,139.486328125
208,NN1-test,25,20.41505002975464,139.486328125
209,NN1-test,50,61.63087487220764,139.486328125
210,NN1-train,5,25.598151683807373,3907.421875
211,NN1-test,5,2.5153396129608154,139.470703125
212,NN1-test,10,5.832026720046997,139.486328125
213,NN1-test,25,20.51598310470581,139.486328125
214,NN1-test,50,61.66912770271301,139.486328125
215,NN1-train,5,30.20572519302368,3904.8984375
216,NN1-test,5,2.501655101776123,139.470703125
217,NN1-test,10,5.808279991149902,139.486328125
218,NN1-test,25,20.417006731033325,139.486328125
219,NN1-test,50,61.47937226295471,141.822265625
220,NN1-train,5,30.139941453933716,3902.85546875
