,Seed,Technique,Feature,Percentage,R2,RMSE
0,0,NN1,Pres,5,0.9896700600283002,0.08891207871658172
1,0,NN1,Temp,5,0.9608098828103917,0.15933445257811735
2,0,NN1,UR,5,0.9335790557936421,0.24199160406988346
3,0,NN1,Pres,10,0.9913343299312822,0.0898093213689822
4,0,NN1,Temp,10,0.9608692557151512,0.16947527009418065
5,0,NN1,UR,10,0.922629873082009,0.2666226050587896
6,0,NN1,Pres,25,0.9906955280238002,0.0934671804282426
7,0,NN1,Temp,25,0.9604962806611912,0.16941607614575593
8,0,NN1,UR,25,0.9287252170374108,0.25506304049925366
9,0,NN1,Pres,50,0.9910565711619884,0.09212697530506907
10,0,NN1,Temp,50,0.9612577617053074,0.17324157285488267
11,0,NN1,UR,50,0.925546440774643,0.259346205858422
12,1,NN1,Pres,5,0.9915042495090667,0.08926048635790235
13,1,NN1,Temp,5,0.9651952715720871,0.16288383677923202
14,1,NN1,UR,5,0.9373342360063313,0.2372219944995045
15,1,NN1,Pres,10,0.9905779569222667,0.09217031780300712
16,1,NN1,Temp,10,0.9644542384577036,0.1632916943590436
17,1,NN1,UR,10,0.9262070280642803,0.25515327256491416
18,1,NN1,Pres,25,0.9913090113534775,0.09048227352702279
19,1,NN1,Temp,25,0.9641755990743887,0.16804660141872832
20,1,NN1,UR,25,0.9282546329585879,0.2503726040988574
21,1,NN1,Pres,50,0.9908085133265236,0.09336782310920409
22,1,NN1,Temp,50,0.9624248620904504,0.17073490214731382
23,1,NN1,UR,50,0.9260469044641153,0.25431577996971977
24,2,NN1,Pres,5,0.9908365406052634,0.09258215027559769
25,2,NN1,Temp,5,0.9632011333330608,0.15957018121951563
26,2,NN1,UR,5,0.9373342360063313,0.2372219944995045
27,2,NN1,Pres,10,0.9885858517454179,0.1033409020474163
28,2,NN1,Temp,10,0.9670580872263324,0.15776284704590235
29,2,NN1,UR,10,0.9262070280642803,0.25515327256491416
30,2,NN1,Pres,25,0.9909548859439404,0.09272063724518918
31,2,NN1,Temp,25,0.9648680738506589,0.16399380416604367
32,2,NN1,UR,25,0.9282546329585879,0.2503726040988574
33,2,NN1,Pres,50,0.9910784375970082,0.0922202042781843
34,2,NN1,Temp,50,0.9631331067634034,0.16880941158804758
35,2,NN1,UR,50,0.9260469044641153,0.25431577996971977
36,3,NN1,Pres,5,0.991580431943284,0.08315588867205136
37,3,NN1,Temp,5,0.9721077993002423,0.14747213989281932
38,3,NN1,UR,5,0.9189465711727391,0.25470131091632875
39,3,NN1,Pres,10,0.9916850177306806,0.0871898521344829
40,3,NN1,Temp,10,0.9554494284110714,0.19574305663746858
41,3,NN1,UR,10,0.925203578054376,0.2559791503218434
42,3,NN1,Pres,25,0.9916752593373382,0.09063765286084594
43,3,NN1,Temp,25,0.9623222906356438,0.17408236097531501
44,3,NN1,UR,25,0.9246781261693571,0.25738809971176574
45,3,NN1,Pres,50,0.9910518744378707,0.09179593745416917
46,3,NN1,Temp,50,0.9626398462601323,0.17034945883721947
